compound,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,NA
C,NA,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,NA
D,NA,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,NA
E,NA,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,NA
F,NA,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,NA
G,NA,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,Ponatinib,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
conc,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
C,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
D,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
E,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
F,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
G,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
cell_line,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
C,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
D,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
E,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
F,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
G,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1,1,1,1,1,1,1,1,1,1,NA
C,NA,2,2,2,2,2,2,2,2,2,2,NA
D,NA,3,3,3,3,3,3,3,3,3,3,NA
E,NA,1,1,1,1,1,1,1,1,1,1,NA
F,NA,2,2,2,2,2,2,2,2,2,2,NA
G,NA,3,3,3,3,3,3,3,3,3,3,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
readout,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,53411,115767,90506,70490,62003,69128,190119,2420680,4485015,4657253,NA
C,NA,45345,93335,73738,52049,49535,51735,137259,1984344,4236894,4610719,NA
D,NA,40526,71957,72795,53411,54773,54249,121323,2093603,4108586,4719258,NA
E,NA,41469,102035,96375,65984,73109,215929,2476545,4466757,4625936,4695153,NA
F,NA,43668,91659,101406,69547,77720,181307,2309684,4683650,4764416,4828020,NA
G,NA,45449,99834,102035,84008,75415,183615,2303259,4302798,4630754,4682226,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
read_norm,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1.145566349,2.482986267,1.941184924,1.51187905,1.329848726,1.48266669,4.077698015,51.9190719,96.19520806,99.88939197,NA
C,NA,0.97256569,2.001861698,1.581542593,1.116353989,1.062433377,1.109619274,2.943949588,42.56047838,90.87347531,98.89132444,NA
D,NA,0.869207127,1.543343464,1.561317001,1.145566349,1.174778709,1.163539886,2.602152106,44.90388018,88.12150798,101.2192836,NA
E,NA,0.875772655,2.154849716,2.035317699,1.393498345,1.543969304,4.560146463,52.30148762,94.33223945,97.69389793,99.15567314,NA
F,NA,0.922212745,1.935721763,2.141566034,1.468744384,1.641347772,3.828973758,48.77759505,98.91274437,100.6184198,101.9616556,NA
G,NA,0.959825204,2.108367389,2.154849716,1.774142352,1.592669097,3.87771579,48.64190721,90.86963344,97.79564798,98.8826713,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA